ID,Comment,Type,Replacement_ID
Galicio-2015-100-1,corrected typo,Concept,Galucio-2015-100-1
Galicio-2015-100-2,corrected typo,Concept,Galucio-2015-100-2
Galicio-2015-100-3,corrected typo,Concept,Galucio-2015-100-3
Galicio-2015-100-4,corrected typo,Concept,Galucio-2015-100-4
Galicio-2015-100-5,corrected typo,Concept,Galucio-2015-100-5
Galicio-2015-100-6,corrected typo,Concept,Galucio-2015-100-6
Galicio-2015-100-7,corrected typo,Concept,Galucio-2015-100-7
Galicio-2015-100-8,corrected typo,Concept,Galucio-2015-100-8
Galicio-2015-100-9,corrected typo,Concept,Galucio-2015-100-9
Galicio-2015-100-10,corrected typo,Concept,Galucio-2015-100-10
Galicio-2015-100-11,corrected typo,Concept,Galucio-2015-100-11
Galicio-2015-100-12,corrected typo,Concept,Galucio-2015-100-12
Galicio-2015-100-13,corrected typo,Concept,Galucio-2015-100-13
Galicio-2015-100-14,corrected typo,Concept,Galucio-2015-100-14
Galicio-2015-100-15,corrected typo,Concept,Galucio-2015-100-15
Galicio-2015-100-16,corrected typo,Concept,Galucio-2015-100-16
Galicio-2015-100-17,corrected typo,Concept,Galucio-2015-100-17
Galicio-2015-100-18,corrected typo,Concept,Galucio-2015-100-18
Galicio-2015-100-19,corrected typo,Concept,Galucio-2015-100-19
Galicio-2015-100-20,corrected typo,Concept,Galucio-2015-100-20
Galicio-2015-100-21,corrected typo,Concept,Galucio-2015-100-21
Galicio-2015-100-22,corrected typo,Concept,Galucio-2015-100-22
Galicio-2015-100-23,corrected typo,Concept,Galucio-2015-100-23
Galicio-2015-100-24,corrected typo,Concept,Galucio-2015-100-24
Galicio-2015-100-25,corrected typo,Concept,Galucio-2015-100-25
Galicio-2015-100-26,corrected typo,Concept,Galucio-2015-100-26
Galicio-2015-100-27,corrected typo,Concept,Galucio-2015-100-27
Galicio-2015-100-28,corrected typo,Concept,Galucio-2015-100-28
Galicio-2015-100-29,corrected typo,Concept,Galucio-2015-100-29
Galicio-2015-100-30,corrected typo,Concept,Galucio-2015-100-30
Galicio-2015-100-31,corrected typo,Concept,Galucio-2015-100-31
Galicio-2015-100-32,corrected typo,Concept,Galucio-2015-100-32
Galicio-2015-100-33,corrected typo,Concept,Galucio-2015-100-33
Galicio-2015-100-34,corrected typo,Concept,Galucio-2015-100-34
Galicio-2015-100-35,corrected typo,Concept,Galucio-2015-100-35
Galicio-2015-100-36,corrected typo,Concept,Galucio-2015-100-36
Galicio-2015-100-37,corrected typo,Concept,Galucio-2015-100-37
Galicio-2015-100-38,corrected typo,Concept,Galucio-2015-100-38
Galicio-2015-100-39,corrected typo,Concept,Galucio-2015-100-39
Galicio-2015-100-40,corrected typo,Concept,Galucio-2015-100-40
Galicio-2015-100-41,corrected typo,Concept,Galucio-2015-100-41
Galicio-2015-100-42,corrected typo,Concept,Galucio-2015-100-42
Galicio-2015-100-43,corrected typo,Concept,Galucio-2015-100-43
Galicio-2015-100-44,corrected typo,Concept,Galucio-2015-100-44
Galicio-2015-100-45,corrected typo,Concept,Galucio-2015-100-45
Galicio-2015-100-46,corrected typo,Concept,Galucio-2015-100-46
Galicio-2015-100-47,corrected typo,Concept,Galucio-2015-100-47
Galicio-2015-100-48,corrected typo,Concept,Galucio-2015-100-48
Galicio-2015-100-49,corrected typo,Concept,Galucio-2015-100-49
Galicio-2015-100-50,corrected typo,Concept,Galucio-2015-100-50
Galicio-2015-100-51,corrected typo,Concept,Galucio-2015-100-51
Galicio-2015-100-52,corrected typo,Concept,Galucio-2015-100-52
Galicio-2015-100-53,corrected typo,Concept,Galucio-2015-100-53
Galicio-2015-100-54,corrected typo,Concept,Galucio-2015-100-54
Galicio-2015-100-55,corrected typo,Concept,Galucio-2015-100-55
Galicio-2015-100-56,corrected typo,Concept,Galucio-2015-100-56
Galicio-2015-100-57,corrected typo,Concept,Galucio-2015-100-57
Galicio-2015-100-58,corrected typo,Concept,Galucio-2015-100-58
Galicio-2015-100-59,corrected typo,Concept,Galucio-2015-100-59
Galicio-2015-100-60,corrected typo,Concept,Galucio-2015-100-60
Galicio-2015-100-61,corrected typo,Concept,Galucio-2015-100-61
Galicio-2015-100-62,corrected typo,Concept,Galucio-2015-100-62
Galicio-2015-100-63,corrected typo,Concept,Galucio-2015-100-63
Galicio-2015-100-64,corrected typo,Concept,Galucio-2015-100-64
Galicio-2015-100-65,corrected typo,Concept,Galucio-2015-100-65
Galicio-2015-100-66,corrected typo,Concept,Galucio-2015-100-66
Galicio-2015-100-67,corrected typo,Concept,Galucio-2015-100-67
Galicio-2015-100-68,corrected typo,Concept,Galucio-2015-100-68
Galicio-2015-100-69,corrected typo,Concept,Galucio-2015-100-69
Galicio-2015-100-70,corrected typo,Concept,Galucio-2015-100-70
Galicio-2015-100-71,corrected typo,Concept,Galucio-2015-100-71
Galicio-2015-100-72,corrected typo,Concept,Galucio-2015-100-72
Galicio-2015-100-73,corrected typo,Concept,Galucio-2015-100-73
Galicio-2015-100-74,corrected typo,Concept,Galucio-2015-100-74
Galicio-2015-100-75,corrected typo,Concept,Galucio-2015-100-75
Galicio-2015-100-76,corrected typo,Concept,Galucio-2015-100-76
Galicio-2015-100-77,corrected typo,Concept,Galucio-2015-100-77
Galicio-2015-100-78,corrected typo,Concept,Galucio-2015-100-78
Galicio-2015-100-79,corrected typo,Concept,Galucio-2015-100-79
Galicio-2015-100-80,corrected typo,Concept,Galucio-2015-100-80
Galicio-2015-100-81,corrected typo,Concept,Galucio-2015-100-81
Galicio-2015-100-82,corrected typo,Concept,Galucio-2015-100-82
Galicio-2015-100-83,corrected typo,Concept,Galucio-2015-100-83
Galicio-2015-100-84,corrected typo,Concept,Galucio-2015-100-84
Galicio-2015-100-85,corrected typo,Concept,Galucio-2015-100-85
Galicio-2015-100-86,corrected typo,Concept,Galucio-2015-100-86
Galicio-2015-100-87,corrected typo,Concept,Galucio-2015-100-87
Galicio-2015-100-88,corrected typo,Concept,Galucio-2015-100-88
Galicio-2015-100-89,corrected typo,Concept,Galucio-2015-100-89
Galicio-2015-100-90,corrected typo,Concept,Galucio-2015-100-90
Galicio-2015-100-91,corrected typo,Concept,Galucio-2015-100-91
Galicio-2015-100-92,corrected typo,Concept,Galucio-2015-100-92
Galicio-2015-100-93,corrected typo,Concept,Galucio-2015-100-93
Galicio-2015-100-94,corrected typo,Concept,Galucio-2015-100-94
Galicio-2015-100-95,corrected typo,Concept,Galucio-2015-100-95
Galicio-2015-100-96,corrected typo,Concept,Galucio-2015-100-96
Galicio-2015-100-97,corrected typo,Concept,Galucio-2015-100-97
Galicio-2015-100-98,corrected typo,Concept,Galucio-2015-100-98
Galicio-2015-100-99,corrected typo,Concept,Galucio-2015-100-99
Galicio-2015-100-100,corrected typo,Concept,Galucio-2015-100-100
Galicio-2015-28-1,corrected typo,Concept,Galucio-2015-28-1
Galicio-2015-28-2,corrected typo,Concept,Galucio-2015-28-2
Galicio-2015-28-3,corrected typo,Concept,Galucio-2015-28-3
Galicio-2015-28-4,corrected typo,Concept,Galucio-2015-28-4
Galicio-2015-28-5,corrected typo,Concept,Galucio-2015-28-5
Galicio-2015-28-6,corrected typo,Concept,Galucio-2015-28-6
Galicio-2015-28-7,corrected typo,Concept,Galucio-2015-28-7
Galicio-2015-28-8,corrected typo,Concept,Galucio-2015-28-8
Galicio-2015-28-9,corrected typo,Concept,Galucio-2015-28-9
Galicio-2015-28-10,corrected typo,Concept,Galucio-2015-28-10
Galicio-2015-28-11,corrected typo,Concept,Galucio-2015-28-11
Galicio-2015-28-12,corrected typo,Concept,Galucio-2015-28-12
Galicio-2015-28-13,corrected typo,Concept,Galucio-2015-28-13
Galicio-2015-28-14,corrected typo,Concept,Galucio-2015-28-14
Galicio-2015-28-15,corrected typo,Concept,Galucio-2015-28-15
Galicio-2015-28-16,corrected typo,Concept,Galucio-2015-28-16
Galicio-2015-28-17,corrected typo,Concept,Galucio-2015-28-17
Galicio-2015-28-18,corrected typo,Concept,Galucio-2015-28-18
Galicio-2015-28-19,corrected typo,Concept,Galucio-2015-28-19
Galicio-2015-28-20,corrected typo,Concept,Galucio-2015-28-20
Galicio-2015-28-21,corrected typo,Concept,Galucio-2015-28-21
Galicio-2015-28-22,corrected typo,Concept,Galucio-2015-28-22
Galicio-2015-28-23,corrected typo,Concept,Galucio-2015-28-23
Galicio-2015-28-24,corrected typo,Concept,Galucio-2015-28-24
Galicio-2015-28-25,corrected typo,Concept,Galucio-2015-28-25
Galicio-2015-28-26,corrected typo,Concept,Galucio-2015-28-26
Galicio-2015-28-27,corrected typo,Concept,Galucio-2015-28-27
Galicio-2015-28-28,corrected typo,Concept,Galucio-2015-28-28
Birchall-2016-126-124,removed duplicate item in wordlist,Concept,Birchall-2016-125-123
Birchall-2016-126-45,removed duplicate item in wordlist,Concept,Birchall-2016-125-44
Birchall-2016-126-80,removed duplicate item in wordlist,Concept,Birchall-2016-125-79
Birchall-2016-126-8,removed duplicate item in wordlist,Concept,Birchall-2016-125-8
Birchall-2016-126-12,removed duplicate item in wordlist,Concept,Birchall-2016-125-12
Birchall-2016-126-52,removed duplicate item in wordlist,Concept,Birchall-2016-125-51
Birchall-2016-126-1,removed duplicate item in wordlist,Concept,Birchall-2016-125-1
Birchall-2016-126-3,removed duplicate item in wordlist,Concept,Birchall-2016-125-3
Birchall-2016-126-4,removed duplicate item in wordlist,Concept,Birchall-2016-125-4
Birchall-2016-126-5,removed duplicate item in wordlist,Concept,Birchall-2016-125-5
Birchall-2016-126-2,removed duplicate item in wordlist,Concept,Birchall-2016-125-2
Birchall-2016-126-18,removed duplicate item in wordlist,Concept,Birchall-2016-125-18
Birchall-2016-126-19,removed duplicate item in wordlist,Concept,Birchall-2016-125-18
Birchall-2016-126-20,removed duplicate item in wordlist,Concept,Birchall-2016-125-19
Birchall-2016-126-36,removed duplicate item in wordlist,Concept,Birchall-2016-125-35
Birchall-2016-126-28,removed duplicate item in wordlist,Concept,Birchall-2016-125-27
Birchall-2016-126-44,removed duplicate item in wordlist,Concept,Birchall-2016-125-43
Birchall-2016-126-49,removed duplicate item in wordlist,Concept,Birchall-2016-125-48
Birchall-2016-126-64,removed duplicate item in wordlist,Concept,Birchall-2016-125-63
Birchall-2016-126-65,removed duplicate item in wordlist,Concept,Birchall-2016-125-64
Birchall-2016-126-119,removed duplicate item in wordlist,Concept,Birchall-2016-125-118
Birchall-2016-126-107,removed duplicate item in wordlist,Concept,Birchall-2016-125-106
Birchall-2016-126-123,removed duplicate item in wordlist,Concept,Birchall-2016-125-122
Birchall-2016-126-122,removed duplicate item in wordlist,Concept,Birchall-2016-125-121
